age,workclass,fnlwgt,education,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
16,1,12118,4,0,9,0,4,1,0,0,18,38,0
13,1,1616,3,1,11,1,4,1,0,0,8,38,0
26,3,19434,2,1,9,1,4,0,0,0,18,38,1
40,1,15161,0,0,9,0,4,1,0,0,8,38,0
20,1,16645,8,2,2,4,4,0,0,0,8,38,0
11,1,12960,8,2,6,4,2,0,0,0,0,38,0
17,3,13863,1,0,10,0,4,1,0,0,8,38,1
12,3,4840,8,1,5,1,4,1,0,0,18,38,0
31,2,11034,2,0,9,0,4,1,0,47,21,38,1
20,1,12169,8,0,11,0,4,1,0,0,16,38,1
31,1,8921,0,2,3,4,4,0,0,0,8,8,0
15,3,15137,3,1,7,3,2,1,0,0,8,38,0
59,1,5530,4,0,3,0,4,1,0,0,8,38,1
27,1,11751,1,0,3,0,4,1,107,0,21,38,1
30,2,7188,4,1,9,1,4,0,0,0,18,38,0
3,1,10710,8,1,12,3,4,0,0,0,8,38,0
12,1,3868,3,1,2,1,4,1,0,0,8,38,0
15,2,17592,3,0,2,0,4,1,93,0,8,38,1
13,1,11404,3,1,5,3,4,1,0,0,8,38,0
14,3,10821,3,1,0,1,4,0,0,0,8,38,0
25,1,5560,3,0,5,0,4,1,0,0,8,38,0
7,1,19494,1,1,11,2,4,1,0,0,8,38,0
21,1,2028,7,0,9,0,4,1,0,0,8,38,1
39,2,18038,3,0,7,0,4,1,0,46,18,1,1
11,1,18989,8,0,11,5,4,0,65,0,0,38,0
19,1,3823,3,1,6,3,4,0,0,0,8,38,0
36,1,3300,3,0,5,0,4,1,0,0,18,38,0
39,2,17161,8,0,11,0,4,1,0,0,18,38,0
32,3,11646,0,0,2,0,2,1,0,0,8,38,1
38,1,15043,8,0,11,0,4,1,0,0,21,38,0
5,1,3810,3,1,2,1,4,1,0,0,9,38,0
4,1,11919,8,1,7,3,4,0,0,0,8,38,0
23,1,5141,1,0,3,0,4,1,0,0,21,38,0
13,1,2474,1,1,3,3,2,1,0,0,8,10,0
12,3,15918,1,0,9,0,4,1,0,0,18,38,1
2,1,17114,8,1,7,3,2,1,0,0,3,38,0
30,1,16685,1,0,3,5,4,0,0,0,8,38,1
3,1,4532,8,1,0,3,4,0,0,33,0,38,0
14,1,4780,0,0,0,0,4,1,0,0,8,38,1
22,1,18766,8,2,2,1,4,1,0,0,8,38,0
11,1,2185,0,1,11,1,4,0,0,0,21,38,0
7,1,1127,3,1,7,1,4,0,0,40,8,38,0
21,2,5296,3,0,2,0,4,1,67,0,3,38,0
20,1,15323,1,0,11,0,4,1,0,0,18,38,0
29,1,6984,0,2,12,1,2,0,0,0,4,38,0
21,3,5646,4,0,9,0,4,1,0,0,8,19,1
26,2,1737,3,0,2,0,4,1,0,0,21,38,0
10,1,8223,0,0,0,5,4,0,0,0,3,38,0
3,1,675,8,1,11,3,4,1,0,0,0,38,0
32,1,2664,8,0,2,0,1,1,0,0,8,38,1
44,2,2071,3,0,2,0,4,1,0,0,8,38,0
10,1,14243,8,1,11,3,4,0,0,0,8,38,0
2,1,17568,8,1,7,3,4,1,0,0,0,25,0
28,1,11568,0,1,9,1,4,0,0,20,8,38,1
53,1,4022,8,1,12,2,4,1,0,0,8,38,0
14,1,10439,3,1,13,4,2,0,0,0,0,38,0
5,1,9336,8,0,7,0,4,1,0,0,0,38,0
19,1,4245,3,3,7,4,4,0,0,0,0,38,0
47,1,9943,3,0,2,0,4,1,0,61,8,38,0
30,3,10454,8,2,0,4,4,0,0,0,6,25,0
17,1,11732,3,1,0,1,4,0,0,0,8,38,0
16,1,8207,1,1,3,2,1,0,0,0,8,29,0
4,1,16957,3,1,2,3,4,1,0,0,3,38,0
31,1,10644,3,0,2,0,4,1,0,0,14,38,0
6,1,13110,1,1,5,1,4,1,0,0,8,38,0
54,2,19494,8,2,11,4,2,1,0,41,0,38,0
12,1,11063,3,2,2,1,4,1,0,0,21,38,0
25,1,13998,1,2,7,2,2,1,0,0,18,38,0
8,1,15272,3,1,7,4,4,0,0,0,8,38,0
27,2,2529,4,2,3,4,1,0,0,0,8,38,0
11,1,2953,3,1,3,1,1,0,0,0,8,8,0
28,2,12024,4,0,11,0,4,1,0,0,8,38,1
19,1,12547,8,2,7,4,4,0,0,0,8,25,0
22,3,14393,0,1,3,1,4,1,0,0,10,38,0
29,3,3808,4,3,10,4,4,1,0,0,8,38,0
1,1,154,3,1,5,3,4,1,0,0,0,38,0
49,3,1639,0,3,9,1,4,0,0,0,0,38,0
10,1,5581,3,1,7,1,4,1,0,51,8,38,0
11,3,9330,3,0,10,0,4,1,0,0,8,38,0
34,1,3328,8,0,11,0,4,1,0,50,8,38,1
10,1,19494,1,1,2,1,4,1,0,0,18,38,0
11,3,7223,1,0,9,0,4,1,0,0,8,38,1
10,1,15311,3,0,11,4,4,0,0,0,0,38,0
4,1,17452,3,1,2,3,2,1,0,0,8,38,0
17,1,19494,3,1,5,1,2,1,0,0,8,38,0
1,1,10252,3,1,7,3,4,1,0,0,0,38,0
16,1,863,1,0,9,0,4,1,0,0,21,38,0
27,3,9955,8,0,3,0,2,1,0,0,6,38,1
26,1,4752,8,2,0,1,4,0,0,0,8,38,0
13,1,19494,8,1,2,1,2,1,0,0,13,38,0
23,1,16633,6,0,6,0,4,1,0,0,8,25,1
20,3,298,8,0,0,0,4,1,0,0,10,38,1
17,1,17192,3,0,0,0,2,1,0,0,8,38,0
24,2,6773,1,2,3,1,4,0,0,0,8,38,0
14,1,3599,4,0,9,5,4,0,0,0,18,38,0
41,3,4357,2,0,9,0,4,1,0,0,0,38,1
21,1,7618,8,2,6,1,2,0,0,0,0,38,0
7,1,7917,8,0,6,0,4,1,0,0,8,38,0
24,3,19494,1,0,2,0,2,1,0,0,8,38,0
30,1,5293,8,0,12,0,4,1,0,0,13,38,0
24,3,5973,1,0,12,0,4,1,0,0,0,38,0
6,1,11650,6,0,13,2,4,1,0,0,8,25,0
19,1,3561,8,2,2,1,4,1,0,0,8,38,0
23,3,1731,4,1,3,1,4,0,104,0,21,38,1
18,1,6489,4,0,9,2,4,1,90,0,8,38,1
7,2,561,3,1,11,1,4,1,0,0,8,38,0
9,1,19253,4,1,9,1,4,0,0,45,8,38,0
34,1,15565,1,0,3,0,4,1,0,0,18,38,1
25,3,15351,8,1,9,1,4,0,0,13,8,38,0
20,3,1329,3,2,0,4,4,0,0,0,3,38,0
1,1,6558,3,1,11,3,4,0,0,0,8,38,0
19,1,5845,1,0,7,0,2,1,90,0,4,38,1
18,1,807,3,2,2,1,4,1,0,0,21,38,0
41,2,12813,3,0,11,5,4,0,107,0,3,38,1
0,1,2031,3,1,11,3,4,0,0,0,0,38,0
27,3,8039,3,0,13,0,2,1,0,0,8,38,0
20,1,12636,3,0,2,0,4,1,0,0,8,38,1
18,1,7517,8,1,11,1,0,0,0,0,8,38,0
43,1,2852,3,0,2,0,1,1,0,0,8,38,0
37,2,5614,6,0,6,0,4,1,0,0,8,38,1
20,1,19494,1,1,3,1,2,1,0,0,21,38,1
33,1,17460,0,2,11,1,4,0,0,0,8,38,0
21,1,10089,1,0,11,0,4,1,0,0,18,30,0
28,1,4347,1,0,9,0,4,1,0,0,21,38,0
8,1,15362,3,1,2,1,4,1,0,0,8,38,0
14,1,11699,8,0,5,0,4,1,0,0,8,38,0
59,1,1490,3,1,7,1,2,1,0,64,8,38,0
37,1,9491,3,0,0,0,2,1,0,0,0,38,0
36,3,6564,5,1,6,1,4,0,0,0,3,38,0
1,1,14835,3,1,11,3,4,0,0,0,8,38,0
49,2,8594,3,0,4,0,4,1,10,0,18,38,0
58,1,17484,0,3,0,1,4,0,0,0,0,3,0
48,1,9511,3,2,0,1,4,0,0,0,8,38,0
18,1,19494,3,2,13,1,2,1,59,0,8,38,0
24,1,5950,3,2,11,4,2,0,0,0,6,38,0
8,1,7933,8,1,0,1,4,1,0,0,10,38,0
16,1,4478,8,2,2,2,3,0,0,0,8,38,0
11,1,2453,7,1,9,1,4,1,0,0,21,38,1
42,3,15949,3,0,7,0,4,1,0,0,8,38,0
23,3,8880,8,1,0,1,4,0,0,0,6,38,0
24,1,9839,1,0,3,0,4,1,0,0,18,19,1
21,3,4796,4,0,3,0,4,1,0,0,21,38,1
6,1,4829,3,1,13,3,4,1,0,0,8,38,0
23,1,18394,1,0,9,0,4,1,0,0,8,38,1
24,2,11519,3,0,7,5,4,0,0,0,0,38,0
7,3,16148,0,0,10,0,4,1,0,0,18,38,0
21,1,9775,8,2,2,1,4,1,0,38,8,38,0
41,1,14463,3,0,0,0,4,1,0,0,13,38,1
15,1,10250,3,1,7,1,4,0,0,0,2,38,0
23,1,12584,0,0,12,0,4,1,0,50,21,38,1
24,1,4612,7,0,9,5,4,0,0,0,8,38,1
25,1,19169,1,0,0,5,2,0,0,0,8,38,0
42,3,8942,3,3,7,4,2,0,0,0,0,38,0
2,3,220,8,1,0,3,4,1,0,0,8,38,0
41,1,15553,8,1,13,1,4,1,0,0,0,38,0
25,2,17159,3,0,4,0,1,1,0,0,8,0,1
3,1,5040,3,1,7,3,4,0,0,0,8,38,0
15,1,9049,3,2,7,1,4,0,0,0,0,38,0
28,1,10639,0,3,3,1,4,0,0,0,13,38,0
33,1,12324,6,2,2,1,4,1,0,0,8,38,0
19,1,7256,1,2,9,3,4,0,0,0,8,38,0
28,1,3454,3,0,11,0,4,1,0,0,21,38,0
0,1,14968,3,1,7,3,4,1,0,0,0,38,0
42,1,6974,8,0,11,0,4,1,65,0,8,38,0
9,1,18997,3,0,2,0,4,1,0,0,8,38,0
20,2,15470,8,0,3,0,1,1,0,0,21,36,1
47,1,37,3,0,3,0,4,1,0,0,8,38,1
16,1,10410,1,1,9,1,4,0,0,0,13,38,0
16,1,13613,3,0,2,5,4,0,0,0,8,38,1
44,1,2194,3,0,3,0,4,1,0,0,8,38,1
0,1,11030,3,1,7,3,4,1,6,0,0,38,0
33,2,399,4,0,4,0,4,1,33,0,21,38,0
10,3,12698,4,1,9,3,4,1,0,0,3,38,0
13,1,2209,3,2,9,3,4,0,0,0,8,38,0
26,1,19494,3,0,5,0,2,1,0,0,8,38,0
27,1,8909,8,0,2,0,4,1,90,0,8,38,1
18,1,10912,8,1,3,1,4,0,0,0,8,38,0
8,1,11303,8,1,12,3,4,0,0,0,8,38,0
7,1,16363,8,0,6,5,4,0,90,0,16,38,1
5,1,723,1,1,9,1,4,0,0,0,0,10,0
25,3,3425,8,0,2,0,4,1,78,0,8,38,1
17,1,9342,0,2,11,4,2,0,0,0,13,38,0
43,1,9180,1,2,9,1,4,0,0,0,10,38,0
4,1,12430,3,1,5,3,4,1,0,0,8,38,0
40,3,19494,4,0,11,0,4,1,107,0,8,38,1
24,1,13515,7,0,9,0,4,1,0,0,21,38,1
33,1,9483,8,2,7,1,4,1,0,0,13,38,0
8,1,18865,1,1,3,1,4,0,0,0,8,38,0
33,1,11312,6,0,2,0,4,1,0,0,8,6,0
19,1,11954,1,0,9,0,4,1,0,0,13,38,0
14,1,5760,3,2,9,1,4,0,0,0,8,38,0
12,3,13509,1,1,10,1,4,1,0,0,21,38,0
4,1,14204,8,1,11,3,4,1,0,0,13,38,0
10,1,15087,1,1,12,4,2,0,0,0,8,38,0
48,1,4485,3,0,13,0,4,1,0,0,0,38,0
20,2,1756,1,2,11,1,4,0,0,0,21,38,0
7,1,16307,3,1,2,3,4,1,0,0,8,38,0
21,1,8770,3,2,11,1,4,1,0,0,21,38,0
31,1,6987,1,0,0,0,4,1,93,0,8,38,1
4,1,7514,8,1,7,1,1,0,0,0,0,38,0
14,1,13323,3,0,13,0,4,1,0,0,13,38,1
38,1,14587,3,0,11,0,4,1,67,0,8,38,1
7,1,17167,8,0,0,5,1,0,0,0,8,24,0
26,1,9121,3,2,0,1,4,0,0,0,8,38,0
9,1,11315,0,1,12,1,4,1,0,0,13,38,0
29,1,2719,0,1,9,1,4,0,0,0,1,38,0
18,1,11304,0,0,0,0,4,1,0,0,8,38,1
24,2,728,8,0,4,0,4,1,0,0,21,38,1
9,1,1825,1,1,11,1,4,1,0,0,8,38,0
17,1,6753,4,0,3,0,1,1,90,0,3,35,1
19,2,12414,1,2,9,1,2,0,0,0,8,38,1
5,1,11897,8,1,11,3,4,1,0,0,0,38,0
7,1,11102,8,1,6,1,4,1,0,0,8,38,0
59,2,6471,8,0,11,0,4,1,0,0,8,38,0
5,1,19281,6,0,6,2,4,0,0,0,8,25,0
12,1,19494,8,1,12,1,4,0,0,0,8,38,0
45,1,7945,3,3,7,1,4,0,0,0,0,38,0
22,2,9217,3,0,3,0,4,1,0,0,8,38,0
26,1,1427,8,0,2,0,4,1,0,17,18,38,0
18,1,10461,3,2,13,1,4,1,0,0,13,38,0
12,1,11959,3,1,3,1,4,0,0,0,8,38,0
59,2,9218,4,0,2,0,4,1,0,0,0,38,0
46,2,2530,3,0,4,0,4,1,0,0,13,38,0
26,1,10648,8,0,9,5,4,0,0,46,18,38,1
41,2,17686,3,0,5,0,4,1,0,0,8,38,0
49,1,5787,3,1,13,1,4,1,21,0,21,38,0
24,1,12502,8,1,2,1,2,1,0,0,13,38,0
9,1,13756,1,1,0,1,4,1,0,0,8,38,0
30,1,9715,0,1,7,1,4,1,0,0,8,38,0
38,3,3478,3,0,0,0,4,1,0,0,8,38,0
36,1,14801,3,0,13,0,4,1,0,0,8,38,0
0,1,16032,6,1,7,2,4,1,0,0,16,25,0
13,1,3222,3,1,2,2,4,1,0,0,8,38,0
32,1,2242,4,1,9,1,4,1,0,0,21,38,0
2,1,3928,3,1,11,4,2,1,0,0,0,13,0
28,1,15632,3,0,7,0,2,1,0,0,8,38,0
9,1,3255,0,1,11,1,4,1,0,0,8,38,0
21,1,16967,0,0,2,0,4,1,90,0,8,38,1
19,3,5177,3,0,10,0,4,1,90,0,8,38,1
16,1,2819,3,1,4,1,4,1,0,0,0,38,0
5,3,16868,8,1,10,3,2,0,0,0,8,38,0
26,2,14765,1,1,11,1,4,1,0,0,10,38,0
39,1,3680,0,0,7,1,4,1,0,0,0,19,0
14,1,7698,1,1,9,3,4,1,0,0,0,38,0
16,1,5061,1,0,3,0,4,1,0,0,8,38,1
9,1,11134,3,0,7,0,4,1,0,0,8,38,0
16,1,4506,1,0,3,0,4,1,0,0,8,38,1
29,3,17902,3,0,13,0,4,1,0,0,0,38,0
21,3,3281,3,0,0,0,4,1,0,0,8,38,1
48,1,8072,3,3,7,4,3,1,0,0,8,38,0
23,1,3336,0,0,12,0,4,1,0,0,8,38,1
25,1,4546,3,0,0,5,4,0,0,0,3,38,0
9,2,4969,3,0,2,0,4,1,0,0,8,31,0
19,1,18399,3,0,7,5,4,0,0,0,0,38,0
45,1,15999,4,0,9,0,4,1,0,0,8,38,1
26,1,9888,1,0,13,0,4,1,0,0,13,38,0
26,1,9252,1,2,3,1,4,1,0,20,13,38,1
5,1,19428,3,0,11,1,4,1,0,0,21,38,0
11,1,3134,3,0,2,0,4,1,0,0,8,38,0
39,2,10143,8,0,11,0,4,1,0,0,13,38,0
5,1,18711,0,1,11,1,4,0,0,0,0,38,0
40,1,12950,1,2,3,1,4,0,0,0,13,38,1
22,1,19494,3,2,11,4,4,0,0,0,8,38,0
9,3,10447,8,1,0,4,4,0,0,0,0,38,0
0,1,3028,3,1,7,3,4,1,0,0,0,38,0
23,3,10260,0,0,6,0,4,1,0,0,6,38,1
28,1,15439,3,0,6,0,2,1,0,0,8,38,0
27,1,7992,3,1,2,1,2,1,0,0,8,38,0
3,3,18472,8,1,0,3,4,0,0,0,0,38,0
16,1,15885,3,0,2,5,4,0,0,0,8,38,0
6,1,769,8,1,11,1,4,1,0,0,8,38,0
29,2,2617,4,2,3,1,4,1,0,0,0,38,0
21,1,9084,3,0,11,0,4,1,0,0,18,38,0
37,1,9219,3,2,13,1,4,1,0,0,8,38,0
29,1,13140,6,2,2,1,4,0,0,71,13,38,0
8,1,18319,8,0,2,0,4,1,0,0,8,38,0
29,1,4280,8,2,11,1,4,0,0,0,8,38,0
19,3,4988,8,0,13,5,4,0,0,0,8,38,0
6,1,19238,3,1,7,1,4,0,0,0,0,38,0
12,1,6188,3,2,6,1,4,1,0,0,8,38,0
27,1,8117,8,0,0,5,4,0,0,75,0,38,1
2,1,142,8,1,0,3,4,0,0,0,0,38,0
2,1,14224,3,1,7,2,4,0,0,0,8,38,0
18,1,13488,3,0,7,5,4,0,0,0,8,38,1
10,1,17103,1,1,2,1,4,1,0,0,18,38,0
29,2,16299,0,2,2,1,4,1,0,0,8,38,0
17,1,11530,3,1,7,1,4,0,0,0,3,38,0
27,1,4838,8,0,12,0,4,1,0,0,8,38,0
28,1,3391,8,2,5,4,4,0,0,0,8,38,0
8,1,2894,1,0,3,0,4,1,0,0,21,38,1
35,2,6056,1,0,3,0,4,1,0,0,18,38,1
3,1,19481,8,1,5,3,4,1,0,0,8,38,0
11,1,4274,8,1,7,1,4,0,0,0,8,38,0
33,3,16702,1,0,10,0,4,1,0,0,8,38,1
17,1,13952,0,2,12,1,4,0,0,0,21,38,0
11,1,8492,6,0,5,0,3,1,0,61,8,32,0
24,1,19494,4,0,3,0,4,1,0,50,21,38,1
11,1,4400,3,0,0,0,4,1,0,0,8,38,0
29,2,17578,3,0,2,0,4,1,0,0,0,38,0
15,1,18746,8,0,3,0,4,1,0,0,18,38,0
24,3,1096,8,2,7,1,2,0,0,0,0,38,0
7,1,14768,3,1,5,4,2,0,0,0,8,38,0
16,1,5106,8,2,3,4,4,0,0,0,8,38,0
29,1,10721,2,0,3,0,4,1,107,0,21,38,1
14,3,19494,8,0,6,0,4,1,0,0,8,38,0
18,1,3139,3,2,2,1,4,1,0,0,18,38,1
35,1,10979,6,0,6,0,4,1,0,0,8,25,0
13,1,19494,3,1,7,3,4,0,0,0,0,38,0
17,3,14873,3,2,6,1,2,1,0,0,8,38,0
17,3,14677,3,2,13,4,4,0,0,0,8,38,0
3,1,1913,8,0,11,0,4,1,0,0,0,38,0
0,1,9299,3,1,5,3,4,1,25,0,0,38,0
15,3,3123,1,0,3,5,4,0,0,0,8,38,1
12,1,10724,3,2,4,1,4,1,0,0,8,38,0
16,1,14005,3,1,2,4,4,0,0,0,3,38,0
8,1,6132,3,0,13,0,4,1,0,0,21,38,0
19,3,15369,4,1,9,1,4,1,0,15,8,38,0
6,1,12339,3,1,5,1,4,1,0,0,21,5,0
46,2,13620,3,0,3,0,4,1,0,0,8,38,1
30,3,16676,4,0,9,0,4,1,0,0,8,38,0
23,2,12285,1,0,9,1,4,0,24,0,8,38,0
13,1,337,0,0,7,5,4,0,0,0,0,38,1
10,1,4899,8,1,2,3,1,1,0,51,8,29,0
16,1,12642,4,0,9,0,4,1,0,0,18,38,1
17,3,16580,3,1,4,1,2,1,3,0,21,38,0
17,3,4960,8,1,10,1,4,0,0,0,8,38,0
6,1,2638,8,0,0,0,4,1,0,0,8,38,0
25,3,18163,8,0,0,5,4,0,0,0,8,38,0
12,1,18733,1,1,9,1,4,1,0,0,8,38,0
28,1,1230,3,2,0,1,4,0,0,0,0,38,0
7,3,11011,3,1,1,3,4,1,0,0,8,38,0
27,1,4927,8,0,9,0,4,1,0,0,8,38,1
10,1,19374,3,1,2,2,4,1,0,0,8,25,0
3,1,17019,8,1,11,1,4,1,0,0,3,38,0
27,1,16777,3,3,3,4,2,0,0,0,8,38,0
34,1,1736,3,0,2,0,0,1,0,0,8,38,0
3,1,7007,3,0,6,0,4,1,0,0,8,38,0
2,1,12490,3,1,6,3,2,0,0,0,8,38,0
28,2,11641,8,0,2,0,4,1,0,0,21,38,1
43,1,14930,3,0,2,0,4,1,0,0,8,38,1
27,2,14365,3,0,11,5,4,0,0,0,8,38,1
23,1,2302,0,0,6,0,1,1,0,0,8,38,1
13,1,9866,3,0,3,5,4,0,0,0,8,38,0
21,1,18482,8,0,13,0,2,1,0,0,18,38,0
6,1,1598,3,0,13,0,4,1,0,0,21,38,0
27,1,4927,0,1,4,3,4,1,0,0,8,38,0
37,3,16722,3,0,13,0,2,1,0,0,8,38,0
15,1,6075,1,0,9,0,4,1,0,0,18,38,0
33,1,11267,6,0,2,4,4,1,0,0,8,38,0
7,1,8833,1,1,12,1,4,0,0,0,0,38,0
20,1,5703,3,0,0,5,4,0,0,0,21,38,0
35,1,766,3,2,13,4,4,1,0,0,8,38,0
21,1,641,8,0,13,0,4,1,0,0,8,38,0
32,1,11192,4,0,3,0,4,1,0,50,13,38,1
13,1,5113,1,0,12,5,4,0,0,0,0,38,1
43,1,12109,8,1,9,4,4,1,0,0,8,38,1
18,1,16587,3,1,2,1,4,1,0,0,8,38,0
13,1,17191,3,1,13,1,4,1,0,0,21,38,0
50,1,1385,0,2,7,1,4,0,0,0,0,38,0
29,1,16352,1,1,2,1,4,0,0,0,8,38,0
0,1,12918,3,1,7,1,4,1,0,0,0,38,0
5,1,16440,8,1,5,3,4,1,0,0,0,38,0
10,1,8059,3,1,7,1,4,1,0,0,8,38,0
6,1,11705,3,1,7,4,4,0,0,0,3,38,0
16,1,4534,0,0,2,0,4,1,0,0,13,31,0
26,2,8893,8,0,2,0,4,1,0,0,0,38,0
11,3,2203,1,1,9,1,4,1,0,0,0,38,0
24,1,11290,3,0,2,4,4,0,0,0,8,38,0
8,1,10866,8,0,0,3,2,0,0,0,0,38,0
42,3,16654,3,0,13,0,4,1,0,0,13,38,0
28,3,8322,1,2,9,4,4,0,0,0,8,38,0
21,1,3076,1,0,11,0,4,1,107,0,21,38,1
23,1,18396,3,1,7,1,4,0,0,0,3,38,0
29,3,18861,3,2,0,1,4,1,0,0,8,38,0
18,1,509,0,1,3,1,4,0,0,0,21,38,0
17,1,10584,3,2,9,4,4,0,0,0,0,38,0
16,1,9656,1,1,2,3,4,1,0,0,0,38,0
24,1,18263,3,2,0,4,4,0,0,0,4,38,0
3,1,15695,8,1,6,3,4,1,0,0,8,38,0
6,1,19331,6,1,7,3,4,1,0,0,8,7,0
9,1,1994,8,1,9,1,4,0,0,0,3,38,0
6,3,17785,3,1,4,1,4,1,0,0,8,30,0
45,3,4719,3,0,13,0,4,1,0,0,8,38,0
35,1,1360,8,0,0,0,4,1,0,0,8,38,0
41,1,9920,8,2,7,4,4,0,0,0,10,9,0
8,1,9928,1,1,11,1,4,0,0,0,8,38,0
7,1,19133,1,1,3,1,2,1,0,0,8,38,0
2,1,15143,8,1,10,3,4,1,0,0,0,38,0
26,1,4562,8,0,3,0,4,1,0,0,8,38,0
30,3,19494,3,2,0,4,2,0,0,0,8,38,0
22,1,3121,3,2,7,4,4,0,0,0,8,38,0
32,1,6683,0,0,5,4,4,1,0,14,10,38,0
15,1,850,0,1,2,1,4,1,0,0,13,38,0
17,1,18091,8,0,9,0,4,1,0,0,18,38,1
11,1,10824,3,2,2,1,4,1,0,0,13,38,0
8,1,15872,8,1,0,1,0,0,0,0,0,38,0
17,1,4234,1,0,9,0,4,1,0,0,18,38,1
21,2,3530,1,0,3,0,4,1,107,0,21,38,1
33,1,11534,3,0,3,0,4,1,93,0,18,38,1
